"accelX.g.","accelY.g.","accelZ.g.","accelUserX.g.","accelUserY.g.","accelUserZ.g.","gyroX.rad.s.","gyroY.rad.s.","gyroZ.rad.s.","Roll.rads.","Pitch.rads.","Yaw.rads.","m11","m12","m13","m21","m22","m23","m31","m32","m33","qX","qY","qZ","qW","ActivityType","ActivityConfidence","Pressure.kilopascals.","RelativeAltitude.meters.","magX.µT.","magY.µT.","magZ.µT.","calMagX.µT.","calMagY.µT.","calMagZ.µT."
0.7865,-0.1213,0.7201,0.1632,-0.0856,-0.0603,-0.0899,2.2354,0.6535,2.4298,0.0336,-3.0817,0.7572,0.0235,-0.6528,0.0599,-0.9976,0.0336,-0.6505,-0.0645,-0.7568,0.937,0.0222,-0.3477,0.0262,"Bicleta","Med",100.7013,-0.9882,104.7653,109.9326,-377.6349,44.5075,1.3624,9.8707
0.7557,-0.0974,0.7139,0.1409,-0.0782,-0.0476,-0.0359,2.2995,0.6561,2.4528,0.0381,-3.0862,0.7722,0.0185,-0.6351,0.0553,-0.9977,0.0381,-0.633,-0.0645,-0.7715,0.9409,0.0196,-0.3369,0.0273,"Bicleta","Med",100.7013,-0.9882,104.0475,108.5853,-374.5074,44.0424,0.6544,11.4596
0.7267,-0.0896,0.7193,0.1304,-0.0496,-0.0756,0.0278,2.3774,0.644,2.4765,0.042,-3.0916,0.7872,0.0134,-0.6166,0.05,-0.9979,0.042,-0.6147,-0.0639,-0.7861,0.9449,0.0168,-0.3258,0.028,"Bicleta","Med",100.7013,-0.9882,104.0475,108.5853,-374.5074,44.0424,0.6544,11.4596
0.6934,-0.0871,0.7225,0.1203,-0.0449,-0.0739,0.0521,2.3241,0.6409,2.5005,0.0454,-3.0968,0.8018,0.0088,-0.5975,0.0447,-0.998,0.0454,-0.5959,-0.0632,-0.8006,0.9487,0.0141,-0.3145,0.0286,"Bicleta","Med",100.7013,-0.9882,104.0475,108.5853,-374.5074,43.6906,0.1608,13.228
0.6541,-0.0758,0.6608,0.1025,-0.0354,-0.1066,9e-04,2.1562,0.6111,2.5232,0.0487,-3.1023,0.8153,0.0038,-0.579,0.0392,-0.998,0.0486,-0.5777,-0.0624,-0.8139,0.9523,0.0113,-0.3037,0.0291,"Bicleta","Med",100.7013,-0.9882,104.0475,108.5853,-374.5074,43.6906,0.1608,13.228
0.6085,-0.0683,0.6117,0.0799,-0.0203,-0.1835,-0.0939,1.9961,0.5738,2.5442,0.0522,-3.1068,0.8273,-6e-04,-0.5617,0.0347,-0.998,0.0522,-0.5606,-0.0627,-0.8257,0.9554,0.0089,-0.2937,0.0301,"Bicleta","Med",100.7013,-0.9882,102.7053,107.8036,-371.2515,42.7489,-0.3707,14.8374
0.565,-0.0646,0.6231,0.0494,-0.0109,-0.2281,-0.1535,1.9038,0.5115,2.564,0.0561,-3.1106,0.8383,-0.0047,-0.5452,0.0309,-0.9979,0.0561,-0.5443,-0.0639,-0.8365,0.9582,0.0069,-0.2842,0.0313,"Bicleta","Med",100.7013,-0.9882,102.7053,107.8036,-371.2515,42.1162,-0.8258,16.2529
0.3931,-0.1958,0.8512,-0.0072,-0.0696,-0.0846,-0.1149,1.2872,0.643,2.7482,0.0993,3.124,0.9228,-0.0542,-0.3814,-0.0175,-0.9949,0.0991,-0.3849,-0.0848,-0.9191,0.9794,-0.0183,-0.1956,0.0469,"Bicleta","Med",100.7013,-0.9882,102.7053,107.8036,-371.2515,38.152,-3.5751,22.5709
0.3931,-0.1958,0.8512,0.029,-0.107,-0.0617,-0.1149,1.2872,0.643,2.7549,0.101,3.1212,0.9252,-0.0569,-0.3752,-0.0203,-0.9947,0.1008,-0.379,-0.0856,-0.9214,0.98,-0.0197,-0.1924,0.0476,"Bicleta","Med",100.7013,-0.9882,98.7501,104.9894,-364.0947,38.152,-3.5751,22.5709
0.4322,-0.2311,0.8879,0.0351,-0.1052,-0.064,-0.1424,1.2438,0.6509,2.7615,0.1027,3.1183,0.9275,-0.0597,-0.3691,-0.0232,-0.9945,0.1025,-0.3732,-0.0865,-0.9237,0.9805,-0.0211,-0.1892,0.0482,"Bicleta","Med",100.7013,-0.9882,98.7501,104.9894,-364.0947,38.152,-3.5751,22.5709
0.4322,-0.2311,0.8879,0.0796,-0.1348,-0.022,-0.1424,1.2438,0.6509,2.768,0.1045,3.1157,0.9297,-0.0622,-0.363,-0.0258,-0.9942,0.1043,-0.3674,-0.0876,-0.9259,0.9811,-0.0224,-0.1861,0.0489,"Bicleta","Med",100.7013,-0.9882,98.7501,104.9894,-364.0947,37.6047,-4.1441,23.2211
0.4642,-0.2492,0.9348,0.0857,-0.1331,-0.0242,-0.1595,1.229,0.6355,2.7745,0.1062,3.1128,0.9319,-0.0649,-0.3569,-0.0286,-0.994,0.106,-0.3616,-0.0886,-0.9281,0.9816,-0.0238,-0.183,0.0496,"Bicleta","Med",100.7013,-0.9882,98.7501,104.9894,-364.0947,37.6047,-4.1441,23.2211
0.4642,-0.2492,0.9348,0.1212,-0.141,0.0086,-0.1595,1.229,0.6355,2.7808,0.108,3.1101,0.934,-0.0675,-0.3509,-0.0313,-0.9937,0.1078,-0.356,-0.0897,-0.9302,0.9821,-0.0252,-0.1799,0.0503,"Bicleta","Med",100.7013,-0.9882,97.4879,104.1661,-362.5702,37.6047,-4.1441,23.2211
0.4769,-0.2352,0.9178,0.1269,-0.1393,0.0066,-0.16,1.1228,0.6001,2.787,0.1097,3.1074,0.9359,-0.0701,-0.3451,-0.034,-0.9934,0.1095,-0.3505,-0.0907,-0.9321,0.9825,-0.0265,-0.177,0.0509,"Bicleta","Med",100.7013,-0.9882,97.4879,104.1661,-362.5702,37.6047,-4.1441,23.2211
0.4769,-0.2352,0.9178,0.1276,-0.1145,-0.0369,-0.16,1.1228,0.6001,2.7926,0.1113,3.105,0.9377,-0.0724,-0.3398,-0.0364,-0.9931,0.1111,-0.3455,-0.0918,-0.9339,0.9829,-0.0277,-0.1743,0.0516,"Bicleta","Med",100.7013,-0.9882,97.4879,104.1661,-362.5702,36.8884,-4.6438,23.9601
0.4125,-0.2047,0.8369,0.1324,-0.113,-0.0384,-0.1409,0.9061,0.5658,2.7977,0.1129,3.1024,0.9392,-0.0749,-0.335,-0.039,-0.9929,0.1126,-0.341,-0.0928,-0.9355,0.9833,-0.0289,-0.1719,0.0522,"Bicleta","Med",100.7013,-0.9882,97.4879,104.1661,-362.5702,36.8884,-4.6438,23.9601
0.4125,-0.2047,0.8369,0.0471,-0.0818,-0.1252,-0.1409,0.9061,0.5658,2.8023,0.1143,3.0999,0.9406,-0.0773,-0.3306,-0.0414,-0.9926,0.1141,-0.337,-0.0936,-0.9368,0.9836,-0.0302,-0.1697,0.0528,"Bicleta","Med",100.7013,-0.9882,97.4879,104.1661,-362.5702,36.8884,-4.6438,23.9601
0.4125,-0.2047,0.8369,0.0471,-0.0818,-0.1252,-0.1409,0.9061,0.5658,2.8023,0.1143,3.0999,0.9406,-0.0773,-0.3306,-0.0414,-0.9926,0.1141,-0.337,-0.0936,-0.9368,0.9836,-0.0302,-0.1697,0.0528,"Bicleta","Med",100.7013,-0.9882,97.4879,104.1661,-362.5702,36.8884,-4.6438,23.9601
0.2869,-0.1741,0.7576,-0.0755,-0.0491,-0.2032,-0.0663,0.7402,0.5336,2.8103,0.1164,3.095,0.9428,-0.0817,-0.3231,-0.0462,-0.9922,0.1162,-0.33,-0.0946,-0.9392,0.9842,-0.0325,-0.1659,0.0535,"Bicleta","Med",100.7013,-0.9882,97.4879,104.1661,-362.5702,36.1786,-5.053,24.456
0.1583,-0.1487,0.6942,-0.0721,-0.0484,-0.2043,0.0413,0.6297,0.5163,2.8139,0.1171,3.0925,0.9438,-0.084,-0.3197,-0.0488,-0.992,0.1168,-0.3269,-0.0946,-0.9403,0.9844,-0.0337,-0.1642,0.0537,"Bicleta","Med",100.7013,-0.9882,97.4879,104.1661,-362.5702,36.1786,-5.053,24.456
0.1583,-0.1487,0.6942,-0.1946,-0.0293,-0.2565,0.0413,0.6297,0.5163,2.8171,0.1175,3.0898,0.9446,-0.0864,-0.3166,-0.0514,-0.9918,0.1173,-0.3241,-0.0945,-0.9413,0.9846,-0.035,-0.1627,0.0538,"Bicleta","Med",100.7013,-0.9882,95.9858,103.1267,-361.3359,36.1786,-5.053,24.456
0.055,-0.1489,0.6849,-0.1917,-0.0289,-0.2574,0.0739,0.5058,0.5559,2.8201,0.1179,3.087,0.9453,-0.0889,-0.3138,-0.0542,-0.9916,0.1176,-0.3216,-0.0942,-0.9422,0.9848,-0.0363,-0.1613,0.0538,"Bicleta","Med",100.7013,-0.9882,95.9858,103.1267,-361.3359,36.1786,-5.053,24.456
0.055,-0.1489,0.6849,-0.2722,-0.029,-0.2477,0.0739,0.5058,0.5559,2.823,0.1184,3.0842,0.946,-0.0914,-0.311,-0.057,-0.9914,0.1181,-0.3192,-0.094,-0.943,0.9849,-0.0377,-0.16,0.0538,"Bicleta","Med",100.7013,-0.9882,95.9858,103.1267,-361.3359,35.7205,-5.3529,24.8259
0.055,-0.1489,0.6849,-0.2722,-0.029,-0.2477,0.0739,0.5058,0.5559,2.823,0.1184,3.0842,0.946,-0.0914,-0.311,-0.057,-0.9914,0.1181,-0.3192,-0.094,-0.943,0.9849,-0.0377,-0.16,0.0538,"Bicleta","Med",100.7013,-0.9882,95.9858,103.1267,-361.3359,35.7205,-5.3529,24.8259
0.047,-0.1379,0.7486,-0.2696,-0.0286,-0.2485,0.0839,0.4654,0.6422,2.8258,0.1188,3.081,0.9466,-0.0943,-0.3084,-0.0601,-0.9911,0.1185,-0.3168,-0.0936,-0.9438,0.9851,-0.0392,-0.1587,0.0538,"Bicleta","Med",100.7013,-0.9882,95.9858,103.1267,-361.3359,35.7205,-5.3529,24.8259
0.047,-0.1379,0.7486,-0.2347,-0.0155,-0.1699,0.0839,0.4654,0.6422,2.8283,0.1194,3.0776,0.947,-0.0975,-0.306,-0.0635,-0.9908,0.1191,-0.3148,-0.0934,-0.9446,0.9852,-0.0408,-0.1575,0.0539,"Bicleta","Med",100.7013,-0.9882,95.9858,103.1267,-361.3359,35.7205,-5.3529,24.8259
0.1546,-0.1345,0.8162,-0.2325,-0.0149,-0.1705,0.0627,0.3617,0.7357,2.8307,0.12,3.074,0.9474,-0.1009,-0.3037,-0.0671,-0.9905,0.1197,-0.3129,-0.0931,-0.9452,0.9853,-0.0426,-0.1565,0.054,"Bicleta","Med",100.7013,-0.9882,95.9858,103.1267,-361.3359,35.7205,-5.3529,24.8259
0.2883,-0.1536,0.8262,-0.1048,-0.0175,-0.1212,0.0627,0.3617,0.7357,2.8344,0.1217,3.0666,0.9478,-0.1081,-0.3001,-0.0744,-0.9898,0.1214,-0.3102,-0.0927,-0.9461,0.9854,-0.0463,-0.1548,0.0543,"Bicleta","Med",100.7013,-0.9882,95.9858,103.1267,-361.3359,35.5095,-5.6274,25.0812
0.2883,-0.1536,0.8262,0.0224,-0.0364,-0.1254,0.0537,0.1915,0.7939,2.8356,0.1226,3.0625,0.9477,-0.112,-0.299,-0.0784,-0.9894,0.1223,-0.3095,-0.0925,-0.9464,0.9853,-0.0483,-0.1544,0.0545,"Bicleta","Med",100.7013,-0.9882,95.2095,102.5305,-360.8167,35.5095,-5.6274,25.0812
0.3615,-0.1623,0.8128,0.023,-0.0358,-0.1255,0.1072,-0.019,0.7639,2.8362,0.1232,3.0589,0.9474,-0.1156,-0.2984,-0.082,-0.989,0.1229,-0.3093,-0.092,-0.9465,0.9853,-0.0502,-0.1542,0.0545,"Bicleta","Med",100.7013,-0.9882,95.2095,102.5305,-360.8167,35.4045,-6.1701,25.1735
0.3198,-0.1572,0.8363,0.0604,-0.0374,-0.1302,0.2322,-0.1262,0.6889,2.8364,0.1235,3.0511,0.9465,-0.123,-0.2982,-0.0896,-0.9883,0.1232,-0.3099,-0.0899,-0.9465,0.9851,-0.054,-0.1543,0.0541,"Bicleta","Med",100.7013,-0.9882,95.2095,102.5305,-360.8167,35.4045,-6.1701,25.1735
